ParName   Value   Gradient
log_fdov[3](12)   5.3059e-05 -1.57977e-05
log_fdov[3](13)  0.000265319   1.7336e-06
log_fdov[3](14)  0.000650542  -6.0019e-05
log_fdov[3](15)       1.4975 -6.90122e-05
log_fdov[3](16)      1.78473 -7.19084e-05
log_fdov[3](17)     0.592393 -3.51207e-05
log_fdov[3](18)      -3.4423 -1.22372e-05
log_fdov[3](19)      -2.1771 -7.05525e-05
log_fdov[3](20)    -0.801287  -6.6204e-05
log_fdov[3](21)    0.0419827  0.000105948
log_fdov[3](22)     0.400538   3.3253e-05
log_fdov[3](23)      0.98142  3.71556e-05
log_fdov[3](24)     0.198376 -5.57368e-06
log_fdov[3](25)     0.922219  5.50834e-05
rec_dev_est(1975)      0.29495 -0.000209207
rec_dev_est(1976)    -0.141604 -0.000115749
rec_dev_est(1977)     0.276907 -0.000184055
rec_dev_est(1978)     0.887935  -0.00020709
rec_dev_est(1979)      1.17985 -0.000190879
rec_dev_est(1980)     0.380015 -0.000137227
rec_dev_est(1981)      1.70731   -0.0005892
rec_dev_est(1982)     0.738142 -0.000266771
rec_dev_est(1983)     0.351844 -0.000513703
rec_dev_est(1984)     -1.45379 -0.000248871
rec_dev_est(1985)    -0.394453 -0.000590654
rec_dev_est(1986)     -1.50479 -0.000276883
rec_dev_est(1987)     -1.94129 -0.000136837
rec_dev_est(1988)     -1.71091 -0.000245471
rec_dev_est(1989)    -0.756544 -0.000683745
rec_dev_est(1990)     -1.16512 -0.000302902
rec_dev_est(1991)     -2.58512 -4.71851e-05
rec_dev_est(1992)     -1.57582 -8.27103e-05
rec_dev_est(1993)     -2.76334 -2.77722e-05
rec_dev_est(1994)     0.269775  -0.00102555
rec_dev_est(1995)      -1.5152  -0.00025869
rec_dev_est(1996)     -2.27883 -6.29556e-05
rec_dev_est(1997)     -1.29816 -6.76058e-05
rec_dev_est(1998)    -0.273676 -0.000471116
rec_dev_est(1999)     -1.21471 -0.000457377
rec_dev_est(2000)     -1.33391 -0.000312047
rec_dev_est(2001)     0.163885 -0.000691634
rec_dev_est(2002)     -1.31671 -0.000100499
rec_dev_est(2003)     -1.39724  -0.00019669
rec_dev_est(2004)    -0.149969 -0.000730271
rec_dev_est(2005)     -0.79418 -0.000196439
rec_dev_est(2006)     -1.22268 -0.000468396
rec_dev_est(2007)     -1.77553 -0.000444894
rec_dev_est(2008)      -1.6501 -0.000483827
rec_dev_est(2009)    -0.754523 -0.000741105
rec_dev_est(2010)     -1.20961 -0.000346502
rec_dev_est(2011)     -1.80204 -0.000245735
rec_dev_est(2012)     -2.11244 -0.000535205
rec_dev_est(2013)     -2.60803 -0.000417656
rec_dev_est(2014)     -2.14749 -0.000425538
rec_dev_est(2015)     -1.48624 -0.000366669
rec_dev_est(2016)     -2.25714 -0.000140051
rec_dev_est(2017)     -1.57604  -0.00028011
